surveyid,variable,varname,description,classification,question,responses,values
aqwels_trends_nov_2021,b15,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 - incompetent, 2, 3, 4, 5 - competent","0, 1, 2, 3, 4"
aqwels_trends_nov_2021,b16,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 - unfair, 2, 3, 4, 5 - fair","0, 1, 2, 3, 4"
cqwels_follow_mar_2021,b14,supsupportive,supervisor supportiveness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unsupportive, 2, 3, 4, 5 – Supportive","0, 1, 2, 3, 4"
cqwels_follow_mar_2021,b15,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Incompetent, 2, 3, 4, 5  – Competent","0, 1, 2, 3, 4"
cqwels_follow_mar_2021,b16,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unfair, 2, 3, 4, 5  – Fair","0, 1, 2, 3, 4"
cqwels_follow_sep_2021,b14,supsupportive,supervisor supportiveness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unsupportive, 2, 3, 4, 5 – Supportive","0, 1, 2, 3, 4"
cqwels_follow_sep_2021,b15,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Incompetent, 2, 3, 4, 5  – Competent","0, 1, 2, 3, 4"
cqwels_follow_sep_2021,b16,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unfair, 2, 3, 4, 5  – Fair","0, 1, 2, 3, 4"
cqwels_long_apr_2021,b16,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 - unfair, 2, 3, 4, 5 - fair","0, 1, 2, 3, 4"
cqwels_long_feb_2021,b14,supsupportive,supervisor supportiveness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unsupportive, 2, 3, 4, 5 – Supportive","0, 1, 2, 3, 4"
cqwels_long_feb_2021,b15,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Incompetent, 2, 3, 4, 5  – Competent","0, 1, 2, 3, 4"
cqwels_long_feb_2021,b16,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unfair, 2, 3, 4, 5  – Fair","0, 1, 2, 3, 4"
cqwels_long_jun_2021,b16,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 ? Unfair, 2, 3, 4, 5  ? Fair","0, 1, 2, 3, 4"
cqwels_long_oct_2021,b14,supsupportive,supervisor supportiveness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unsupportive, 2, 3, 4, 5 – Supportive","0, 1, 2, 3, 4"
cqwels_long_oct_2021,b15,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Incompetent, 2, 3, 4, 5  – Competent","0, 1, 2, 3, 4"
cqwels_long_oct_2021,b16,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unfair, 2, 3, 4, 5  – Fair","0, 1, 2, 3, 4"
cqwels_trends_sep_2021,b14_c21,supsupportive,supervisor supportiveness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unsupportive, 2, 3, 4, 5 – Supportive","0, 1, 2, 3, 4"
cqwels_trends_sep_2021,b15_c21,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Incompetent, 2, 3, 4, 5  – Competent","0, 1, 2, 3, 4"
cqwels_trends_sep_2021,b16_c21,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unfair, 2, 3, 4, 5  – Fair","0, 1, 2, 3, 4"
aqwels_trends_nov_2020,b16,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unfair, 2, 3, 4, 5  – Fair","0, 1, 2, 3, 4"
cqwels_long_apr_2020,b16,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 - unfair, 2, 3, 4, 5 - fair","0, 1, 2, 3, 4"
cqwels_long_aug_2020,b14,supsupportive,supervisor supportiveness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unsupportive, 2, 3, 4, 5 – Supportive","0, 1, 2, 3, 4"
cqwels_long_aug_2020,b15,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Incompetent, 2, 3, 4, 5  – Competent","0, 1, 2, 3, 4"
cqwels_long_aug_2020,b16,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unfair, 2, 3, 4, 5  – Fair","0, 1, 2, 3, 4"
cqwels_long_dec_2020,b14,supsupportive,supervisor supportiveness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unsupportive, 2, 3, 4, 5 – Supportive","0, 1, 2, 3, 4"
cqwels_long_dec_2020,b15,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Incompetent, 2, 3, 4, 5  – Competent","0, 1, 2, 3, 4"
cqwels_long_dec_2020,b16,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unfair, 2, 3, 4, 5  – Fair","0, 1, 2, 3, 4"
cqwels_long_jun_2020,b14,supsupportive,supervisor supportiveness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unsupportive, 2, 3, 4, 5 – Supportive","0, 1, 2, 3, 4"
cqwels_long_jun_2020,b15,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Incompetent, 2, 3, 4, 5  – Competent","0, 1, 2, 3, 4"
cqwels_long_jun_2020,b16,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unfair, 2, 3, 4, 5  – Fair","0, 1, 2, 3, 4"
cqwels_long_may_2020,b14,supsupportive,supervisor supportiveness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unsupportive, 2, 3, 4, 5 – Supportive","0, 1, 2, 3, 4"
cqwels_long_may_2020,b15,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Incompetent, 2, 3, 4, 5  – Competent","0, 1, 2, 3, 4"
cqwels_long_may_2020,b16,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unfair, 2, 3, 4, 5  – Fair","0, 1, 2, 3, 4"
cqwels_long_oct_2020,b14,supsupportive,supervisor supportiveness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unsupportive, 2, 3, 4, 5 – Supportive","0, 1, 2, 3, 4"
cqwels_long_oct_2020,b15,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Incompetent, 2, 3, 4, 5  – Competent","0, 1, 2, 3, 4"
cqwels_long_oct_2020,b16,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unfair, 2, 3, 4, 5  – Fair","0, 1, 2, 3, 4"
cqwels_trends_mar_2020,b14,supsupportive,supervisor supportiveness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unsupportive, 2, 3, 4, 5 – Supportive","0, 1, 2, 3, 4"
cqwels_trends_mar_2020,b15,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Incompetent, 2, 3, 4, 5  – Competent","0, 1, 2, 3, 4"
cqwels_trends_mar_2020,b16,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unfair, 2, 3, 4, 5  – Fair","0, 1, 2, 3, 4"
cqwels_trends_sep_2020,b14_c20,supsupportive,supervisor supportiveness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unsupportive, 2, 3, 4, 5 – Supportive","0, 1, 2, 3, 4"
cqwels_trends_sep_2020,b15_c20,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Incompetent, 2, 3, 4, 5  – Competent","0, 1, 2, 3, 4"
cqwels_trends_sep_2020,b16_c20,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1 – Unfair, 2, 3, 4, 5  – Fair","0, 1, 2, 3, 4"
cqwels_trends_sep_2019,b16,supfair,supervisor fairness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following,"1  unfair, 2, 3, 4, 5   fair","1, 2, 3, 4, 5"
cqwels_long_apr_2021,b15,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following... 1 - Incompetent 2 3 4 5 - Competent,"1 - incompetent, 2, 3, 4, 5 - competent","0, 1, 2, 3, 4"
cqwels_long_jun_2021,b15,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following... 1 - Incompetent 2 3 4 5 - Competent,"1 ? Incompetent, 2, 3, 4, 5  ? Competent","0, 1, 2, 3, 4"
cqwels_long_apr_2020,b15,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following... 1 - Incompetent 2 3 4 5 - Competent,"1 - incompetent, 2, 3, 4, 5 - competent","0, 1, 2, 3, 4"
aqwels_trends_nov_2020,b15,supcomp,supervisor competence rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following... 1 - Incompetent to 5 - Competent,"1 – Incompetent, 2, 3, 4, 5  – Competent","0, 1, 2, 3, 4"
cqwels_long_apr_2021,b14,supsupportive,supervisor supportiveness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following... 1 - Unsupportive 2 3 4 5 - Supportive,"1 - unsupportive, 2, 3, 4, 5 - supportive","0, 1, 2, 3, 4"
cqwels_long_jun_2021,b14,supsupportive,supervisor supportiveness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following... 1 - Unsupportive 2 3 4 5 - Supportive,"1 ? Unsupportive, 2, 3, 4, 5 ? Supportive","0, 1, 2, 3, 4"
cqwels_long_apr_2020,b14,supsupportive,supervisor supportiveness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following... 1 - Unsupportive 2 3 4 5 - Supportive,"1 - unsupportive, 2, 3, 4, 5 - supportive","0, 1, 2, 3, 4"
aqwels_trends_nov_2020,b14,supsupportive,supervisor supportiveness rating,job quality,Please use the scale below to rate your immediate supervisor/manager on the following... 1 - Unsupportive to 5 - Supportive,"1 – Unsupportive, 2, 3, 4, 5 – Supportive","0, 1, 2, 3, 4"
cqwels_trends_sep_2019,b15,supcomp,supervisor competence rating,job quality,Please use the scales below to rate your immediate supervisor/manager on the following... 1 -- Incompetent to 5 - Competent,"1  incompetent, 2, 3, 4, 5   competent","1, 2, 3, 4, 5"
cqwels_trends_sep_2019,b14,supsupportive,supervisor supportiveness rating,job quality,Please use the scales below to rate your immediate supervisor/manager on the following... 1 -- Unsupportive to 5 -- Supportive,"1  unsupportive, 2, 3, 4, 5  supportive","1, 2, 3, 4, 5"
cqwels_trends_sep_2019,b9other,prom_other,promotion opportunity other specified,job quality,Promotion opportunities,,
messi_us_jun_2024,q65,sattruth,satisfaction statistic reaction,work attitudes,Recent surveys consistently show that more than 80 percent of all American workers say they are very or somewhat satisfied with their job.,"Very surprised, Somewhat surprised, Not too surprised, Not at all surprised","1, 2, 3, 4"
cqwels_tlc_sep_2024,dissatisfied,dissatisfied,dissatisfaction finding surprise,work attitudes,"Recent surveys consistently show that only 12 percent of all Canadian workers report a '1' or a '2' on that 5-point job satisfaction scale we just showed you. In other words, only a small minority of Canadians say they are dissatisfied with their job. How surprised are you by that finding?","Very surprised, Somewhat surprised, Not too surprised, Not at all surprised","0, 1, 2, 3"
cqwels_tlc_sep_2024,meaningfulsurprise,meaning_surprise,meaningfulness finding surprise,work attitudes,Recent surveys show that 75 percent of all Canadian workers 'agree' or 'strongly agree' with this statement... 'I find my work to be very meaningful.' How surprised are you by that finding?,"Very surprised, Somewhat surprised, Not too surprised, Not at all surprised","0, 1, 2, 3"
cqwels_tlc_sep_2024,respectsurprise,respectsurprise,respect finding surprise,job quality,"Recent surveys show that 85 percent of all Canadian workers 'agree' or 'strongly agree' with this statement... 'At the place where I work, I am treated with respect.' How surprised are you by that finding?","Very surprised, Somewhat surprised, Not too surprised, Not at all surprised","0, 1, 2, 3"
cqwels_tlc_sep_2024,stresssurprise,stresssurprise,stress finding surprise,"work attitudes, mental health",Recent surveys show that approximately 30 percent of all Canadian workers say they find their work stressful 'often' or 'always.' How surprised are you by that finding?,"Very surprised, Somewhat surprised, Not too surprised, Not at all surprised","0, 1, 2, 3"
cqwels_tlc_sep_2024,effortsurprise,effortsurprise,effort finding surprise,job quality,Recent surveys show that approximately 52 percent of all Canadian workers respond 'a lot' when asked how much effort they put into their job beyond what is required. How surprised are you by that finding?,"Very surprised, Somewhat surprised, Not too surprised, Not at all surprised","0, 1, 2, 3"
cqwels_follow_mar_2021,marchtlo1,march_laidoff,temporary layoff since 2020,job quality,"Since January 2020, have you ever been temporarily laid off or furloughed from your main job?","Yes, No","0, 1"
cqwels_long_oct_2021,b1anew,occupation_new,recent occupation change status,job structure,"Since June of this year (2021), have you changed your place of employment or line of work? (Note: If nothing changed except you are now working mostly from home, select: ""same place of employment and in the same position)"" Yes, I changed my place of employment/line of work entirely No, I stayed in the same place of employment/line of work-but I did change position/job title No, I stayed at the same place of employment/line of work and in the same position/job title Something else: please specify (","Yes, I changed my place of employment/line of work entirely, No, I stayed in the same place of employment/line of work—but I did change position/job title, No, I stayed at the same place of employment/line of work and in the same position/job title","0, 1, 2"
cqwels_long_apr_2021,febtl01,notworking,temporary layoff since 2020,job quality,"Since March 2020, have you ever been temporarily laid off or furloughed from your main job?",yes,0
cqwels_long_feb_2021,febtl01,notworking,temporary layoff since 2020,job quality,"Since March 2020, have you ever been temporarily laid off or furloughed from your main job?","Yes, No","0, 1"
cqwels_long_jun_2021,febtl01,notworking,temporary layoff since 2020,job quality,"Since March 2020, have you ever been temporarily laid off or furloughed from your main job?",Yes,0
cqwels_long_oct_2021,febtl01,notworking,temporary layoff since 2020,job quality,"Since March 2020, have you ever been temporarily laid off or furloughed from your main job?",Yes,0
cqwels_long_apr_2021,h3newstressfulb,retire_stressful_b,retirement stress change,"job quality, mental health","Since that time when you first retired, has your stress level...?","increased a lot, increased a little, stayed the same, decreased a little, decreased a lot","0, 1, 2, 3, 4"
cqwels_long_feb_2021,h3newstressfulb,retire_stressful_b,retirement stress change,"job quality, mental health","Since that time when you first retired, has your stress level...?","Increased a lot, Increased a little, Stayed the same, Decreased a little, Decreased a lot","0, 1, 2, 3, 4"
cqwels_long_jun_2021,h3newstressfulb,retire_stressful_b,retirement stress change,"job quality, mental health","Since that time when you first retired, has your stress level...?","Increased a lot, Increased a little, Stayed the same, Decreased a little, Decreased a lot","0, 1, 2, 3, 4"
cqwels_long_oct_2021,h3newstressfulb,retire_stressful_b,retirement stress change,"job quality, mental health","Since that time when you first retired, has your stress level...?","Increased a lot, Increased a little, Stayed the same, Decreased a little, Decreased a lot","0, 1, 2, 3, 4"
cqwels_long_apr_2021,g2newstressfulb,laidoffstress_b,job loss stress change,"job quality, mental health","Since that time when you first stopped working, has your stress level...?","increased a lot, increased a little, stayed the same, decreased a little, decreased a lot","0, 1, 2, 3, 4"
cqwels_long_feb_2021,g2newstressfulb,laidoffstress_b,job loss stress change,"job quality, mental health","Since that time when you first stopped working, has your stress level...?","Increased a lot, Increased a little, Stayed the same, Decreased a little, Decreased a lot","0, 1, 2, 3, 4"
cqwels_long_jun_2021,g2newstressfulb,laidoffstress_b,job loss stress change,"job quality, mental health","Since that time when you first stopped working, has your stress level...?","Increased a lot, Increased a little, Stayed the same, Decreased a little, Decreased a lot","0, 1, 2, 3, 4"
cqwels_long_oct_2021,g2newstressfulb,laidoffstress_b,job loss stress change,"job quality, mental health","Since that time when you first stopped working, has your stress level...?","Increased a lot, Increased a little, Stayed the same, Decreased a little, Decreased a lot","0, 1, 2, 3, 4"
cqwels_follow_mar_2021,marchworkhome,workathome,work at home frequency,job structure,"Since the onset of the COVID-19 pandemic, how often have you worked from home?","None of the time, A little of the time, Some of the time, Most of the time, All of the time, Even before the onset of the COVID-19 pandemic, I usually worked <u>mainly from home</u>.","0, 1, 2, 3, 4, 5"
cqwels_long_apr_2021,b18aw4new,workhome_covid,pandemic remote work frequency,job structure,"Since the onset of the COVID-19 pandemic, how often have you worked from home?","none of the time, a little of the time, some of the time, most of the time, all of the time, even before the onset of covid-19, i usually worked mainly from home.","0, 1, 2, 3, 4, 5"
cqwels_long_feb_2021,b18aw4new,workhome_covid,pandemic remote work frequency,job structure,"Since the onset of the COVID-19 pandemic, how often have you worked from home?","None of the time, A little of the time, Some of the time, Most of the time, All of the time, Even before the onset of COVID-19, I usually worked <u>mainly from home</u>.","0, 1, 2, 3, 4, 5"
cqwels_long_jun_2021,b18aw4new,workhome_covid,pandemic remote work frequency,job structure,"Since the onset of the COVID-19 pandemic, how often have you worked from home?","None of the time, A little of the time, Some of the time, Most of the time, All of the time, Even before the onset of COVID-19, I usually worked <u>mainly from home</u>.","0, 1, 2, 3, 4, 5"
cqwels_long_oct_2021,b18aw4new,workhome_covid,pandemic remote work frequency,job structure,"Since the onset of the COVID-19 pandemic, how often have you worked from home?","None of the time, A little of the time, Some of the time, Most of the time, All of the time, Even before the onset of COVID-19, I usually worked <u>mainly from home</u>.","0, 1, 2, 3, 4, 5"
cqwels_long_aug_2020,b18aw4new,workathome_precov,pre-covid work from home frequency,job structure,"Since the onset of the COVID-19 pandemic, how often have you worked from home?","None of the time, A little of the time, Some of the time, Most of the time, All of the time, Even before the onset of COVID-19, I usually worked <u>mainly from home</u>.","0, 1, 2, 3, 4, 5"
cqwels_long_dec_2020,b18aw4new,workathome_precov,pre-covid work from home frequency,job structure,"Since the onset of the COVID-19 pandemic, how often have you worked from home?","None of the time, A little of the time, Some of the time, Most of the time, All of the time, Even before the onset of COVID-19, I usually worked <u>mainly from home</u>.","0, 1, 2, 3, 4, 5"
cqwels_long_jun_2020,b18aw4new,workhome_covid,pandemic remote work frequency,job structure,"Since the onset of the COVID-19 pandemic, how often have you worked from home?","None of the time, A little of the time, Some of the time, Most of the time, All of the time, Even before the onset of COVID-19, I usually worked <u>mainly from home</u>.","0, 1, 2, 3, 4, 5"
cqwels_long_oct_2020,b18aw4new,workhome_covid,pandemic remote work frequency,job structure,"Since the onset of the COVID-19 pandemic, how often have you worked from home?","None of the time, A little of the time, Some of the time, Most of the time, All of the time, Even before the onset of COVID-19, I usually worked <u>mainly from home</u>.","0, 1, 2, 3, 4, 5"
qes_can_mar_2023,absorbed,absorbed,job involvement level,work attitudes,"Some people are completely involved in their job - they are absorbed in it night and day. For other people, their job is simply one of several interests. How involved do you feel in your job?","Very little, Slightly, Moderately, Strongly, Can’t choose, Prefer not to say","0, 1, 2, 3"
qes_us_feb_2023,absorbed,absorbed,job involvement level,work attitudes,"Some people are completely involved in their job - they are absorbed in it night and day. For other people, their job is simply one of several interests. How involved do you feel in your job?","Very little, Slightly, Moderately, Strongly, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
cqwels_follow_sep_2021,changejobsomething,changejobsomething,job change other specified,job structure,,", another company bought the contracts ibm had for our clients and we all lost our jobs but were offered the same job at a much higher pay from the new company. as you can imagine the majority of us stayed on. so same job, new company., came out of retirement to help with covid management, changed companies and jobs in the same industry., changed employer but same profession, changed location of work but remained in position, changed location. same job and same company, changed place, same job, changement de travail durant la pandemie devenue agent de securite agent admin pour la vaccination, i added a new job in a new business, i got a second job in a new place, i have changed my place of work but stayed in the reception realm of work, i have reduced my hours in the office and work from home half of the time, i kept my job as a elementary occasional teacher but added in my now main job as a lead educator at an after school program, i retired from long time career, i started a second job, i stayed in the same line of work and did not change jobs nut i got a new job which because my primary job, resulting in cut hours in the other two jobs i hold (research assistant and teaching assistant), i still have my business but can no longer teach at work sites or make presentations at gatherings ., i took on additional temporary employment, i was redirected to covid work but have since returned to my regular duties, i was working at 2 different offices part-time and quit one to work fulltime at one the other., i work for same company in same position, but in a different location, j ai change d installation mais je suis retourne a mon travail, jai du prendre un autre emploi temporairement du a limpossibilite dentrer dans les rpa, lost 2nd job due to govt restrictions, meme travail mais les bureaux ont demenages dendroit, moved up from simply clerical to more administrative and moved too work from home full time (moved in january 2021), new employer, same line of work, partialy retired, reduced hours, relocated to a different hospital within the same healthcare system, same company, changed project and location, same employer, different site and line of work, same job, changed number of hours, same place of work, same job, but division being restructured due to amalgamation, same type of job changed agencies, still business owner, working another job to get by now, this was previous a part-time position but because full-time after i lost another job (working as a sessional lecturer at a university), took on new client, worked from home, yes, changed place of employment -but work in the same position/job title, laid off, lost 1 job, while stayed same place in same position with another, oui jai change partiellement de lieu de travail et jai du ajouter de nouveau domaine de travail, two clinic i would sometimes work out of i left","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44"
cqwels_trends_sep_2021,b25columns3_c21,lotofsay,i have a lot of say about what happens on my job.,job quality,Still thinking about your main job please tell me how much you agree or disagree with the following statements as descriptions of your job. I have a lot of say about what happens on my job.,"strongly agree, somewhat agree, somewhat disagree, strongly disagree","0, 1, 2, 3"
cqwels_trends_sep_2020,b25columns3_c20,lotofsay,i have a lot of say about what happens on my job.,job quality,Still thinking about your main job please tell me how much you agree or disagree with the following statements as descriptions of your job. I have a lot of say about what happens on my job.,"Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","0, 1, 2, 3"
cqwels_follow_mar_2021,b25columns,freedom,i have the freedom to decide what i do on my job.,job quality,"Still thinking about your main job, please tell me how much you agree or disagree with the following statements as descriptions of your job. I have the freedom to decide what I do on my job.","Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","0, 1, 2, 3"
aqwels_trends_nov_2020,b25columns,freedom,i have the freedom to decide what i do on my job.,job quality,"Still thinking about your main job, please tell me how much you agree or disagree with the following statements as descriptions of your job. I have the freedom to decide what I do on my job.","Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","0, 1, 2, 3"
messi_us_jun_2024,q41,creative,my job requires that i be creative.,job quality,"Still thinking about your main job, please tell me how much you agree or disagree with the following statements as descriptions of your job. My job requires that I be creative.","Strongly agree, Agree, Disagree, Strongly disagree, Can't choose, Prefer not to say","1, 2, 3, 4, 5, 6"
messi_us_nov_2023,q48,creative,my job requires that i be creative.,job quality,"Still thinking about your main job, please tell me how much you agree or disagree with the following statements as descriptions of your job. My job requires that I be creative.","Strongly agree, Agree, Disagree, Strongly disagree, Can't choose, Prefer not to say","1, 2, 3, 4, 5, 6"
cqwels_tlc_mar_2022,ccreative,creative,my job requires that i be creative.,job quality,"Still thinking about your main job, please tell me how much you agree or disagree with the following statements as descriptions of your job. My job requires that I be creative.","Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","0, 1, 2, 3"
cqwels_trends_sep_2020,b25columns5_c20,creative,my job requires that i be creative.,job quality,"Still thinking about your main job, please tell me how much you agree or disagree with the following statements as descriptions of your job. My job requires that I be creative.","Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","0, 1, 2, 3"
messi_us_apr_2025,jobset3col1,variety,i get to do a lot of different things on my job.,job quality,"Still thinking about your main job, please tell me how much you agree or disagree with the following statements as descriptions of your job. Note: Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... I get to do a number of different things on my job.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","0, 1, 2, 3"
messi_us_apr_2025,jobset3col3,skills,my job allows me to develop my skills and abilities.,job quality,"Still thinking about your main job, please tell me how much you agree or disagree with the following statements as descriptions of your job. Note: Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... My job lets me use my skills and abilities.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","0, 1, 2, 3"
messi_us_apr_2025,jobset3col4,learn,my job requires that i keep learning new things.,job quality,"Still thinking about your main job, please tell me how much you agree or disagree with the following statements as descriptions of your job. Note: Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... My job requires that I keep learning new things.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","0, 1, 2, 3"
messi_us_apr_2025,jobset3col5,creative,my job requires that i be creative.,job quality,"Still thinking about your main job, please tell me how much you agree or disagree with the following statements as descriptions of your job. Note: Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... My job requires that I be creative.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","0, 1, 2, 3"
messi_can_may_2024,jobset3col1,variety,i get to do a lot of different things on my job.,job quality,"Still thinking about your main job, please tell me how much you agree or disagree with the following statements as descriptions of your job. Note: Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree agree disagree or strongly disagree with each statement... I get to do a number of different things on my job.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
messi_can_may_2024,jobset3col3,skills,my job allows me to develop my skills and abilities.,job quality,"Still thinking about your main job, please tell me how much you agree or disagree with the following statements as descriptions of your job. Note: Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree agree disagree or strongly disagree with each statement... My job lets me use my skills and abilities.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
messi_can_may_2024,jobset3col5,creative,my job requires that i be creative.,job quality,"Still thinking about your main job, please tell me how much you agree or disagree with the following statements as descriptions of your job. Note: Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... My job requires that I be creative.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
aqwels_trends_nov_2020,b25columns5,creative,my job requires that i be creative.,job quality,"Still thinking about your main job, please tell me how much you agree or disagree with the following statements as descriptions of your job. Note: Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... My job requires that I be creative.","Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","0, 1, 2, 3"
aqwels_trends_nov_2020,b25columns6,skills,my job allows me to develop my skills and abilities.,job quality,"Still thinking about your main job, please tell me how much you agree or disagree with the following statements as descriptions of your job. Note: Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... My job allows me to develop my skills and abilities.","Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Can’t choose, Prefer not to say, Not applicable","0, 1, 2, 3"
